time,G(i),H_sun,T2m,WS10m,Int
20100125:1807,0,0,18.84,1.79,0
20100125:1907,0,0,18.49,2,0
20100125:2007,0,0,17.5,1.86,0
20100125:2107,0,0,16.81,1.93,0
20100125:2207,0,0,16.3,2.07,0
20100125:2307,0,0,15.58,2.07,0
20100126:0007,0,0,15.05,2.21,0
20100126:0107,0,0,14.48,2.21,0
20100126:0207,0,0,14.25,2.28,0
20100126:0307,0,0,13.97,2.34,0
20100126:0407,0,0,13.69,2.41,0
20100126:0507,376.99,15.43,14.74,2.76,0
20100126:0607,666.27,28.24,17.75,2.69,0
20100126:0707,878.14,39.97,21.02,3.24,0
20100126:0807,1018.52,49.66,23.29,3.45,0
20100126:0907,1079.57,55.53,24.91,2.97,0
20100126:1007,1055.29,55.57,26.02,2.28,0
20100126:1107,949.79,49.77,26.75,1.45,0
