time,G(i),H_sun,T2m,WS10m,Int
20190924:0007,0,0,12.8,1.79,0
20190924:0107,0,0,12.53,1.72,0
20190924:0207,0,0,12.28,1.72,0
20190924:0307,0,0,12.13,1.72,0
20190924:0407,166.87,12.11,12.93,1.59,0
20190924:0507,465.58,26.52,17.16,1.17,0
20190924:0607,706.77,40.76,20.61,0.76,0
20190924:0707,899.86,54.54,22.42,0.62,0
20190924:0807,1016.52,67.01,23.69,1.66,0
20190924:0907,105.96,74.53,24.39,2,0
20190924:1007,654.79,70.25,22.84,1.72,0
20190924:1107,446.18,58.68,23.26,2,0
20190924:1207,106.93,45.16,23.65,2,0
20190924:1307,146.79,31.03,23.49,2.48,0
20190924:1407,29.16,16.66,23.02,2.55,0
20190924:1507,0.95,2.18,21.72,1.79,0
20190924:1607,0,0,20.02,1.03,0
20190924:1707,0,0,19.66,0.28,0
20190924:1807,0,0,17.92,1.03,0
20190924:1907,0,0,19.09,0.76,0
20190924:2007,0,0,17.33,1.17,0
20190924:2107,0,0,15.55,1.45,0
20190924:2207,0,0,14.34,1.66,0
20190924:2307,0,0,13.46,1.72,0
20190925:0007,0,0,12.76,1.72,0
20190925:0107,0,0,12.18,1.72,0
20190925:0207,0,0,11.73,1.79,0
20190925:0307,0,0,11.36,1.86,0
20190925:0407,205.25,12.09,11.86,1.66,0
20190925:0507,471.23,26.5,17.43,1.03,0
20190925:0607,721.62,40.7,21.77,0.76,0
20190925:0707,912.55,54.44,23.44,0.34,0
20190925:0807,1017.52,66.81,24.96,0.34,0
20190925:0907,1074.29,74.15,25.89,0.62,0
20190925:1007,977.34,69.89,26.43,0.9,0
20190925:1107,618.29,58.41,25.45,1.31,0
20190925:1207,530.03,44.93,24.46,1.59,0
20190925:1307,286.73,30.83,24.45,1.31,0
20190925:1407,67.08,16.46,24.09,1.17,0
20190925:1507,0,0,22.92,0.97,0
20190925:1607,0,0,20.7,1.03,0
20190925:1707,0,0,18.77,1.45,0
20190925:1807,0,0,17.04,1.66,0
20190925:1907,0,0,16.02,1.66,0
20190925:2007,0,0,14.78,1.72,0
20190925:2107,0,0,13.96,1.79,0
20190925:2207,0,0,13.28,1.93,0
20190925:2307,0,0,12.7,2,0
20190926:0007,0,0,12.2,2,0
20190926:0107,0,0,11.77,2,0
20190926:0207,0,0,11.43,2,0
20190926:0307,0,0,11.14,2,0
20190926:0407,20.41,12.07,11.59,1.72,0
20190926:0507,391.96,26.46,17.1,1.1,0
20190926:0607,715.63,40.65,22.17,0.97,0
20190926:0707,914.84,54.34,24.4,1.1,0
20190926:0807,1019.82,66.6,25.69,1.52,0
20190926:0907,987.72,73.78,25.74,2.41,0
20190926:1007,585.14,69.52,26.15,2.07,0
20190926:1107,170.12,58.13,26.55,2.34,0
20190926:1207,351.81,44.7,26.41,2.41,0
20190926:1307,75.83,30.62,26.2,2.34,0
20190926:1407,98.08,16.27,25.44,1.72,0
20190926:1507,0,0,23.3,1.24,0
20190926:1607,0,0,20.8,1.45,0
20190926:1707,0,0,18.53,1.72,0
20190926:1807,0,0,16.48,1.93,0
20190926:1907,0,0,15.51,1.72,0
20190926:2007,0,0,14.09,1.86,0
20190926:2107,0,0,13.34,1.79,0
20190926:2207,0,0,13.24,1.66,0
20190926:2307,0,0,13.53,1.66,0
20190927:0007,0,0,13.69,1.59,0
20190927:0107,0,0,14.75,1.45,0
20190927:0207,0,0,17,1.1,0
20190927:0307,0,0,17.25,0.9,0
20190927:0407,151.9,12.05,16.03,1.17,0
20190927:0507,224.5,26.43,18.2,0.9,0
20190927:0607,575.1,40.59,20.58,1.31,0
20190927:0707,567.47,54.23,21.36,1.72,0
20190927:0807,841.71,66.39,22.36,2.14,0
20190927:0907,992.56,73.4,23.27,2.41,0
20190927:1007,693.62,69.16,23.79,2.69,0
20190927:1107,708.84,57.85,21.72,2.21,0
20190927:1207,190.54,44.47,21.23,2,0
20190927:1307,164.14,30.42,21.76,1.79,0
20190927:1407,54.44,16.08,21.82,1.93,0
20190927:1507,0,0,21.05,1.31,0
20190927:1607,0,0,19.84,1.31,0
20190927:1707,0,0,18.27,1.03,0
20190927:1807,0,0,18.56,0.69,0
20190927:1907,0,0,18.09,0.69,0
20190927:2007,0,0,17.26,0.62,0
20190927:2107,0,0,16.69,0.34,0
20190927:2207,0,0,15.47,0.48,0
20190927:2307,0,0,15.11,0.48,0
20190928:0007,0,0,15.4,0.62,0
20190928:0107,0,0,15.49,0.48,0
20190928:0207,0,0,15.89,0.41,0
20190928:0307,0,0,16.26,0.41,0
20190928:0407,149.17,12.03,16.6,0.21,0
20190928:0507,452.24,26.4,17.91,0.41,0
20190928:0607,663.77,40.53,19.16,0.76,0
20190928:0707,772.48,54.12,20.04,1.03,0
20190928:0807,484.76,66.18,21.06,1.52,0
20190928:0907,356.38,73.03,21.59,1.79,0
20190928:1007,876.93,68.8,22.34,2.14,0
20190928:1107,831.18,57.57,22.83,2.48,0
20190928:1207,419.52,44.24,22.13,2.41,0
20190928:1307,191.97,30.21,21.74,2.83,0
20190928:1407,92.31,15.89,20.73,2.07,0
20190928:1507,0,0,19.99,1.1,0
20190928:1607,0,0,18.97,1.17,0
20190928:1707,0,0,17.75,1.17,0
20190928:1807,0,0,17.88,0.48,0
20190928:1907,0,0,16.14,1.03,0
20190928:2007,0,0,15.09,1.24,0
20190928:2107,0,0,14.25,1.45,0
20190928:2207,0,0,13.59,1.59,0
20190928:2307,0,0,13.22,1.66,0
20190929:0007,0,0,12.9,1.72,0
20190929:0107,0,0,12.57,1.66,0
20190929:0207,0,0,12.31,1.66,0
20190929:0307,0,0,12.08,1.66,0
20190929:0407,200.39,12.01,12.53,1.52,0
20190929:0507,496.37,26.36,17.47,1.1,0
20190929:0607,733.56,40.46,20.65,0.97,0
20190929:0707,913.84,54,22.71,1.1,0
20190929:0807,951.42,65.96,24.21,1.59,0
20190929:0907,946.82,72.65,25,1.79,0
20190929:1007,918.18,68.44,25.3,1.72,0
20190929:1107,387.22,57.29,25.84,1.86,0
20190929:1207,110.82,44.01,25.63,2,0
20190929:1307,234.67,30.01,25.14,2,0
20190929:1407,107.58,15.7,24.59,1.72,0
20190929:1507,0,0,23.21,1.1,0
20190929:1607,0,0,21.91,0.97,0
20190929:1707,0,0,19.32,1.52,0
20190929:1807,0,0,17.61,1.72,0
20190929:1907,0,0,16.33,1.93,0
20190929:2007,0,0,15.74,1.93,0
20190929:2107,0,0,15.11,1.93,0
20190929:2207,0,0,14.63,1.93,0
20190929:2307,0,0,14.32,1.93,0
20190930:0007,0,0,13.92,1.93,0
20190930:0107,0,0,13.49,1.93,0
20190930:0207,0,0,13.29,2,0
20190930:0307,0,0,12.97,1.93,0
20190930:0407,25.28,11.98,13.39,1.72,0
20190930:0507,273.73,26.32,18.07,1.31,0
20190930:0607,653.77,40.4,21.35,1.24,0
20190930:0707,885.08,53.88,23.58,1.79,0
20190930:0807,1009.62,65.73,24.85,1.79,0
20190930:0907,992.57,72.27,25.76,1.38,0
20190930:1007,916.23,68.07,25.59,0.34,0
20190930:1107,475.97,57.01,24.22,1.72,0
20190930:1207,58.33,43.78,22.76,2,0
20190930:1307,127.35,29.8,22.52,0.97,0
20190930:1407,134.43,15.51,22.68,0.21,0
20190930:1507,0,0,21.75,0.41,0
20190930:1607,0,0,20.86,0.48,0
20190930:1707,0,0,19.74,0.83,0
20190930:1807,0,0,18.15,1.31,0
20190930:1907,0,0,16.96,1.24,0
20190930:2007,0,0,16.24,1.38,0
20190930:2107,0,0,15.83,1.17,0
20190930:2207,0,0,15.24,1.38,0
20190930:2307,0,0,15.06,1.45,0
20191001:0007,0,0,14.86,1.38,0
20191001:0107,0,0,15.1,1.17,0
20191001:0207,0,0,15.19,1.03,0
20191001:0307,0,0,15.07,0.9,0
20191001:0407,24.3,11.95,15.62,0.07,0
20191001:0507,102.07,26.27,16.42,0.48,0
20191001:0607,54.44,40.32,17.59,0.41,0
20191001:0707,101.1,53.75,17.68,0.97,0
20191001:0807,164.29,65.5,19.25,0.62,0
20191001:0907,640.47,71.89,21.17,1.45,0
20191001:1007,666.11,67.71,20.85,1.79,0
20191001:1107,278.09,56.73,20.72,2.21,0
20191001:1207,59.3,43.54,20.22,2.41,0
20191001:1307,61.24,29.6,19.54,2.21,0
20191001:1407,77.54,15.32,18.74,1.72,0
20191001:1507,0,0,18.18,1.03,0
20191001:1607,0,0,17.69,0.69,0
20191001:1707,0,0,17.2,0.14,0
20191001:1807,0,0,16.87,0.41,0
20191001:1907,0,0,16.55,0.62,0
20191001:2007,0,0,16.37,0.69,0
20191001:2107,0,0,15.79,0.83,0
20191001:2207,0,0,15.42,1.03,0
20191001:2307,0,0,15.09,1.1,0
20191002:0007,0,0,14.78,1.24,0
20191002:0107,0,0,14.52,1.38,0
20191002:0207,0,0,14.47,1.52,0
20191002:0307,0,0,14.52,1.45,0
20191002:0407,45.69,11.92,14.79,1.38,0
20191002:0507,285.68,26.23,16.66,1.52,0
20191002:0607,715.87,40.25,18.78,1.38,0
20191002:0707,768.68,53.62,20.86,1.38,0
20191002:0807,1012.82,65.27,22.39,1.66,0
20191002:0907,1092.07,71.51,23.43,1.79,0
20191002:1007,964.66,67.35,23.88,1.59,0
20191002:1107,780.83,56.44,23.92,1.31,0
20191002:1207,301.71,43.31,23,1.17,0
20191002:1307,316.52,29.39,22.55,1.59,0
20191002:1407,119.28,15.13,22.1,1.03,0
20191002:1507,0,0,21.14,0.83,0
20191002:1607,0,0,19.59,1.03,0
20191002:1707,0,0,18.44,1.24,0
20191002:1807,0,0,17.61,1.38,0
20191002:1907,0,0,16.96,1.24,0
20191002:2007,0,0,16,1.24,0
20191002:2107,0,0,15.17,1.38,0
20191002:2207,0,0,14.61,1.45,0
20191002:2307,0,0,14.26,1.45,0
20191003:0007,0,0,13.79,1.31,0
20191003:0107,0,0,13.53,1.38,0
20191003:0207,0,0,13.28,1.45,0
20191003:0307,0,0,13.07,1.45,0
20191003:0407,225.7,11.89,13.5,1.38,0
20191003:0507,493,26.18,18.02,0.97,0
20191003:0607,486.62,40.17,20.1,0.69,0
20191003:0707,457.85,53.49,22.22,1.03,0
20191003:0807,208.04,65.03,23.59,1.45,0
20191003:0907,932.84,71.14,24.39,1.45,0
20191003:1007,1036.09,66.98,24.88,1.24,0
20191003:1107,841.18,56.16,24.61,0.97,0
20191003:1207,543.6,43.08,23.58,1.93,0
20191003:1307,77.77,29.19,22.95,2.21,0
20191003:1407,18.47,14.95,22.49,1.52,0
20191003:1507,0,0,21.91,0.83,0
20191003:1607,0,0,20.05,1.17,0
20191003:1707,0,0,18.48,1.86,0
20191003:1807,0,0,17.44,2.14,0
20191003:1907,0,0,16.28,1.79,0
20191003:2007,0,0,15.47,2,0
20191003:2107,0,0,14.88,2.07,0
20191003:2207,0,0,14.4,2,0
20191003:2307,0,0,14.06,2,0
20191004:0007,0,0,14.02,2.14,0
20191004:0107,0,0,13.81,2.21,0
20191004:0207,0,0,13.78,2.21,0
20191004:0307,0,0,13.52,2.21,0
20191004:0407,225.58,11.86,13.73,2.07,0
20191004:0507,528.8,26.13,16.61,1.86,0
20191004:0607,769.05,40.09,20.06,1.72,0
20191004:0707,947.46,53.35,22.5,1.66,0
20191004:0807,1042.21,64.78,23.9,1.93,0
20191004:0907,1105.64,70.76,24.43,2.28,0
20191004:1007,939.33,66.62,24.65,2.21,0
20191004:1107,712.87,55.88,25.05,2.21,0
20191004:1207,613.19,42.85,25.1,2.28,0
20191004:1307,309.45,28.99,24.83,2.34,0
20191004:1407,150.76,14.76,24.17,2.34,0
20191004:1507,0,0,22.6,1.93,0
20191004:1607,0,0,20.33,1.66,0
20191004:1707,0,0,18.46,1.93,0
20191004:1807,0,0,17,2.07,0
20191004:1907,0,0,16.02,2,0
20191004:2007,0,0,15.15,2,0
20191004:2107,0,0,14.46,2,0
20191004:2207,0,0,13.86,2,0
20191004:2307,0,0,13.64,2,0
20191005:0007,0,0,13.39,2.07,0
20191005:0107,0,0,12.95,1.93,0
20191005:0207,0,0,12.61,2,0
20191005:0307,0,0,12.32,1.93,0
20191005:0407,200.76,11.82,12.49,1.66,0
20191005:0507,510.1,26.07,17.3,1.1,0
20191005:0607,756.52,40,20.35,0.48,0
20191005:0707,932.58,53.21,22.54,0.28,0
20191005:0807,992.65,64.53,23.62,0.48,0
20191005:0907,1003.17,70.38,23.95,0.83,0
20191005:1007,984.91,66.26,24.32,0.9,0
20191005:1107,857.65,55.59,24.7,0.97,0
20191005:1207,412.35,42.62,24.83,1.24,0
20191005:1307,420.66,28.79,24.91,1.45,0
20191005:1407,161.04,14.58,24.42,0.97,0
20191005:1507,0,0,22.38,1.24,0
20191005:1607,0,0,20.32,1.38,0
20191005:1707,0,0,18.76,1.72,0
20191005:1807,0,0,17.22,1.86,0
20191005:1907,0,0,16.07,1.52,0
20191005:2007,0,0,14.62,1.66,0
20191005:2107,0,0,13.7,1.66,0
20191005:2207,0,0,13.13,1.59,0
20191005:2307,0,0,12.85,1.59,0
20191006:0007,0,0,12.98,1.59,0
20191006:0107,0,0,12.71,1.59,0
20191006:0207,0,0,12.18,1.66,0
20191006:0307,0,0,11.75,1.59,0
20191006:0407,167.14,11.79,12.37,1.38,0
20191006:0507,520.28,26.02,17.5,0.48,0
20191006:0607,760.07,39.91,20.48,0.48,0
20191006:0707,935.04,53.06,22.78,0.07,0
20191006:0807,1051.87,64.28,24.11,0.41,0
20191006:0907,1060.02,70,24.95,0.97,0
20191006:1007,793.58,65.9,25.45,1.24,0
20191006:1107,547.84,55.31,25.57,1.31,0
20191006:1207,508.27,42.38,25.59,1.52,0
20191006:1307,139.99,28.59,25.14,1.52,0
20191006:1407,126.08,14.4,24.41,1.24,0
20191006:1507,0,0,22.6,1.1,0
20191006:1607,0,0,20.21,1.52,0
20191006:1707,0,0,18.34,1.86,0
20191006:1807,0,0,16.82,2,0
20191006:1907,0,0,15.61,1.79,0
20191006:2007,0,0,14.56,1.86,0
20191006:2107,0,0,13.87,1.86,0
20191006:2207,0,0,13.35,1.93,0
20191006:2307,0,0,13,1.93,0
20191007:0007,0,0,12.75,1.86,0
20191007:0107,0,0,12.33,1.86,0
20191007:0207,0,0,12.03,1.86,0
20191007:0307,0,0,11.8,1.86,0
20191007:0407,174.32,11.74,12.55,1.66,0
20191007:0507,478.17,25.96,17.85,1.24,0
20191007:0607,729.14,39.82,21.79,1.17,0
20191007:0707,898.17,52.91,23.51,1.31,0
20191007:0807,1035.86,64.03,25.02,2,0
20191007:0907,804.59,69.62,25.75,2.41,0
20191007:1007,505.3,65.54,26.36,2.55,0
20191007:1107,623.76,55.03,25.73,2.55,0
20191007:1207,361.82,42.15,24.66,3.03,0
20191007:1307,38.89,28.39,24.01,2,0
20191007:1407,125.36,14.22,24.11,1.86,0
20191007:1507,0,0,22.93,1.66,0
20191007:1607,0,0,20.97,1.38,0
20191007:1707,0,0,19.08,1.52,0
20191007:1807,0,0,17.4,1.66,0
20191007:1907,0,0,15.69,1.79,0
20191007:2007,0,0,14.73,1.86,0
20191007:2107,0,0,14.14,1.93,0
20191007:2207,0,0,13.75,2,0
20191007:2307,0,0,13.41,2.07,0
20191008:0007,0,0,13.15,2.14,0
20191008:0107,0,0,12.99,2.07,0
20191008:0207,0,0,12.82,2,0
20191008:0307,0,0,12.77,2.07,0
20191008:0407,166.99,11.7,13.53,1.93,0
20191008:0507,507.68,25.89,17.79,1.59,0
20191008:0607,751.84,39.72,21.37,1.59,0
20191008:0707,929.55,52.75,23.62,2.9,0
20191008:0807,1019.86,63.77,24.74,3.38,0
20191008:0907,1046.58,69.24,25.09,3.38,0
20191008:1007,1035.98,65.18,25.76,3.59,0
20191008:1107,891.02,54.75,26.01,3.66,0
20191008:1207,652.63,41.92,25.78,3.93,0
20191008:1307,431.43,28.19,23.57,2.97,0
20191008:1407,142.86,14.04,23.64,2.21,0
20191008:1507,0,0,22.76,2.14,0
20191008:1607,0,0,20.59,1.66,0
20191008:1707,0,0,18.41,1.66,0
20191008:1807,0,0,16.36,1.93,0
20191008:1907,0,0,15.01,2.07,0
20191008:2007,0,0,14.32,2.21,0
20191008:2107,0,0,13.95,2.07,0
20191008:2207,0,0,13.36,2.07,0
20191008:2307,0,0,13.13,2.14,0
20191009:0007,0,0,12.91,2.07,0
20191009:0107,0,0,12.77,2,0
20191009:0207,0,0,12.61,2.07,0
20191009:0307,0,0,12.43,2,0
20191009:0407,232.87,11.66,12.75,1.59,0
20191009:0507,468.02,25.83,17.53,1.31,0
20191009:0607,640.15,39.62,20.89,1.38,0
20191009:0707,914.34,52.59,23.05,2.21,0
20191009:0807,1034.35,63.5,23.5,3.03,0
20191009:0907,1060.1,68.86,24,3.59,0
20191009:1007,882.71,64.83,22.61,3.52,0
20191009:1107,557.64,54.47,23.48,2.69,0
20191009:1207,316.29,41.7,24.05,2.48,0
20191009:1307,347.21,27.99,23.89,2.55,0
20191009:1407,117.82,13.87,23.35,2.14,0
20191009:1507,0,0,22.16,2,0
20191009:1607,0,0,20.24,1.93,0
20191009:1707,0,0,18.24,2,0
20191009:1807,0,0,16.71,2.14,0
20191009:1907,0,0,15.63,2.07,0
20191009:2007,0,0,14.91,2.14,0
20191009:2107,0,0,14.3,2.07,0
20191009:2207,0,0,13.73,2.07,0
20191009:2307,0,0,13.28,2.14,0
20191010:0007,0,0,12.95,2.21,0
20191010:0107,0,0,12.67,2.21,0
20191010:0207,0,0,12.43,2.28,0
20191010:0307,0,0,12.29,2.28,0
20191010:0407,189.81,11.61,12.71,2.14,0
20191010:0507,512.22,25.76,16.12,2.07,0
20191010:0607,752.73,39.51,19.68,2.21,0
20191010:0707,925.37,52.43,22.41,2.97,0
20191010:0807,1045.04,63.24,23.54,3.1,0
20191010:0907,1046.41,68.49,23.84,2.76,0
20191010:1007,779.07,64.47,24.77,2.41,0
20191010:1107,371.43,54.19,24.85,1.72,0
20191010:1207,631.32,41.47,24.65,1.17,0
20191010:1307,336.69,27.8,24.08,2.28,0
20191010:1407,16.53,13.69,22.77,2.41,0
20191010:1507,0,0,21.35,2.28,0
20191010:1607,0,0,19.61,2.41,0
20191010:1707,0,0,18.38,2.28,0
20191010:1807,0,0,17.41,2.28,0
20191010:1907,0,0,16.69,2.07,0
20191010:2007,0,0,15.86,2.07,0
20191010:2107,0,0,15.28,2.14,0
20191010:2207,0,0,14.8,2.14,0
20191010:2307,0,0,14.34,2.14,0
20191011:0007,0,0,13.99,2.07,0
20191011:0107,0,0,13.77,2.07,0
20191011:0207,0,0,13.34,2.07,0
20191011:0307,0,0,13.14,2.07,0
20191011:0407,87.2,11.56,13.64,1.93,0
20191011:0507,496.72,25.69,17.49,1.72,0
20191011:0607,706.92,39.41,20.64,1.93,0
20191011:0707,941.54,52.26,22.79,3.03,0
20191011:0807,1044.44,62.97,24.29,3.31,0
20191011:0907,1063.04,68.11,25.36,3.1,0
20191011:1007,969.72,64.12,25.41,2.34,0
20191011:1107,857.53,53.91,24.03,2.97,0
20191011:1207,401.92,41.24,22.13,3.03,0
20191011:1307,37.91,27.6,22.25,2.28,0
20191011:1407,16.53,13.52,22.07,1.45,0
20191011:1507,0,0,21.25,0.83,0
20191011:1607,0,0,19.7,1.31,0
20191011:1707,0,0,18.18,1.72,0
20191011:1807,0,0,17.17,1.86,0
20191011:1907,0,0,16.33,1.79,0
20191011:2007,0,0,15.8,1.79,0
20191011:2107,0,0,15.47,1.79,0
20191011:2207,0,0,14.84,1.93,0
20191011:2307,0,0,14.55,1.86,0
20191012:0007,0,0,14.17,1.93,0
20191012:0107,0,0,13.81,1.93,0
20191012:0207,0,0,13.43,1.86,0
20191012:0307,0,0,13.05,1.93,0
20191012:0407,111.86,11.51,13.39,1.72,0
20191012:0507,527.24,25.61,17.89,1.38,0
20191012:0607,760.49,39.29,20.92,1.03,0
20191012:0707,934.13,52.09,22.96,1.66,0
20191012:0807,1036.37,62.7,24.19,1.86,0
20191012:0907,1061.07,67.74,24.73,1.79,0
20191012:1007,881.97,63.77,25.19,1.59,0
20191012:1107,475.01,53.63,24.92,1.38,0
20191012:1207,85.55,41.02,24.85,2.07,0
20191012:1307,36.94,27.41,23.4,2.55,0
20191012:1407,131.45,13.35,22.69,2.21,0
20191012:1507,0,0,21.41,2.07,0
20191012:1607,0,0,20.21,2,0
20191012:1707,0,0,19.2,2,0
20191012:1807,0,0,18.22,1.93,0
20191012:1907,0,0,17.73,1.86,0
20191012:2007,0,0,16.93,1.72,0
20191012:2107,0,0,16.61,1.66,0
20191012:2207,0,0,15.86,1.59,0
20191012:2307,0,0,15.52,1.66,0
20191013:0007,0,0,14.85,1.79,0
20191013:0107,0,0,14.46,1.72,0
20191013:0207,0,0,14.11,1.59,0
20191013:0307,0,0,13.83,1.59,0
20191013:0407,50.55,11.45,14.11,1.24,0
20191013:0507,508.11,25.53,17.9,0.48,0
20191013:0607,679.6,39.18,19.74,0.55,0
20191013:0707,908.34,51.91,21.54,0.41,0
20191013:0807,902.31,62.42,22.53,0.55,0
20191013:0907,989.92,67.37,23.21,0.14,0
20191013:1007,997.97,63.42,23.17,0.69,0
20191013:1107,725.16,53.36,21.52,1.1,0
20191013:1207,179.85,40.8,20.02,1.45,0
20191013:1307,36.94,27.23,19.6,0.97,0
20191013:1407,43.75,13.19,19.78,0.69,0
20191013:1507,0,0,19.3,0.28,0
20191013:1607,0,0,18.88,0.28,0
20191013:1707,0,0,18.53,0.34,0
20191013:1807,0,0,17.96,0.55,0
20191013:1907,0,0,16.67,0.83,0
20191013:2007,0,0,16.32,0.83,0
20191013:2107,0,0,16.43,0.48,0
20191013:2207,0,0,15.82,0.97,0
20191013:2307,0,0,15.73,1.17,0
20191014:0007,0,0,15.63,0.97,0
20191014:0107,0,0,15.48,0.97,0
20191014:0207,0,0,15.24,0.97,0
20191014:0307,0,0,14.62,1.31,0
20191014:0407,46.66,11.4,14.76,1.38,0
20191014:0507,446.02,25.45,17.61,1.59,0
20191014:0607,718.65,39.06,20.16,1.86,0
20191014:0707,936.65,51.73,22,1.93,0
20191014:0807,1007.11,62.15,23.54,2.34,0
20191014:0907,1068.47,66.99,24.18,2.34,0
20191014:1007,973.47,63.07,24.35,2.07,0
20191014:1107,859.13,53.08,24.51,2,0
20191014:1207,496.63,40.57,23.99,1.79,0
20191014:1307,39.86,27.04,23,1.59,0
20191014:1407,28.19,13.02,22.59,1.66,0
20191014:1507,0,0,21.62,1.52,0
20191014:1607,0,0,20.1,1.66,0
20191014:1707,0,0,19.08,1.86,0
20191014:1807,0,0,18.28,1.93,0
20191014:1907,0,0,17.48,1.93,0
20191014:2007,0,0,16.92,1.86,0
20191014:2107,0,0,16.09,1.86,0
20191014:2207,0,0,15.65,1.93,0
20191014:2307,0,0,14.8,2,0
20191015:0007,0,0,14.19,2.07,0
20191015:0107,0,0,13.91,2.21,0
20191015:0207,0,0,13.73,2.28,0
20191015:0307,0,0,13.49,2.28,0
20191015:0407,157.08,11.34,13.99,2.14,0
20191015:0507,510.91,25.37,17.11,1.86,0
20191015:0607,744.23,38.94,20.59,1.93,0
20191015:0707,932.08,51.55,22.94,2.83,0
20191015:0807,1044.92,61.87,24.36,3.59,0
20191015:0907,1062.62,66.62,24.86,3.52,0
20191015:1007,1008.15,62.73,25.1,3.38,0
20191015:1107,864.55,52.81,25.14,2.97,0
20191015:1207,475.99,40.35,24.97,2.9,0
20191015:1307,402.47,26.85,24.5,2.97,0
20191015:1407,139.17,12.86,23.54,2.55,0
20191015:1507,0,0,21.94,2.34,0
20191015:1607,0,0,20.14,2.41,0
20191015:1707,0,0,18.46,2.34,0
20191015:1807,0,0,17.17,2.28,0
20191015:1907,0,0,16.3,2.34,0
20191015:2007,0,0,15.49,2.34,0
20191015:2107,0,0,14.72,2.34,0
20191015:2207,0,0,14.11,2.34,0
20191015:2307,0,0,13.57,2.41,0
20191016:0007,0,0,13.31,2.48,0
20191016:0107,0,0,12.9,2.55,0
20191016:0207,0,0,12.56,2.62,0
20191016:0307,0,0,12.32,2.62,0
20191016:0407,187.79,11.27,12.7,2.48,0
20191016:0507,522.82,25.28,16.5,2.28,0
20191016:0607,764.53,38.81,20.18,2.69,0
20191016:0707,936.33,51.36,22.4,3.72,0
20191016:0807,1050.44,61.59,23.89,3.66,0
20191016:0907,1055.16,66.26,24.98,3.1,0
20191016:1007,1001.27,62.39,25.65,2.41,0
20191016:1107,848.21,52.54,25.74,1.93,0
20191016:1207,619.52,40.14,25.73,1.93,0
20191016:1307,356.33,26.67,24.75,2.41,0
20191016:1407,140.52,12.7,23.58,2.69,0
20191016:1507,0,0,22.01,2.21,0
20191016:1607,0,0,20.2,2.21,0
20191016:1707,0,0,18.98,2.41,0
20191016:1807,0,0,17.77,2.34,0
20191016:1907,0,0,16.94,2.14,0
20191016:2007,0,0,16.3,2,0
20191016:2107,0,0,15.96,2,0
20191016:2207,0,0,15.33,2.14,0
20191016:2307,0,0,15.09,2.14,0
20191017:0007,0,0,14.71,2.21,0
20191017:0107,0,0,14.44,2.21,0
20191017:0207,0,0,14.12,2.21,0
20191017:0307,0,0,13.84,2.14,0
20191017:0407,185.79,11.21,13.99,2,0
20191017:0507,515.44,25.19,17.32,1.79,0
20191017:0607,764.99,38.69,20.54,2.21,0
20191017:0707,936.99,51.18,22.69,3.1,0
20191017:0807,1043.76,61.31,24.23,2.9,0
20191017:0907,1061.62,65.89,25.24,2.62,0
20191017:1007,1000.63,62.05,25.64,2,0
20191017:1107,876.78,52.27,25.92,1.52,0
20191017:1207,662.72,39.92,26.17,1.24,0
20191017:1307,238.71,26.49,25.88,1.38,0
20191017:1407,63.11,12.55,24.65,2.14,0
20191017:1507,0,0,22.84,2.28,0
20191017:1607,0,0,21.04,2.41,0
20191017:1707,0,0,19.75,2.14,0
20191017:1807,0,0,18.72,2.07,0
20191017:1907,0,0,17.85,2,0
20191017:2007,0,0,16.78,1.79,0
20191017:2107,0,0,16.49,1.59,0
20191017:2207,0,0,15.76,1.52,0
20191017:2307,0,0,15.45,1.45,0
20191018:0007,0,0,15.14,1.45,0
20191018:0107,0,0,14.46,1.52,0
20191018:0207,0,0,13.74,1.59,0
20191018:0307,0,0,13.03,1.72,0
20191018:0407,91.4,11.14,13.3,1.59,0
20191018:0507,204.98,25.1,17.85,1.31,0
20191018:0607,495.43,38.55,20.73,1.45,0
20191018:0707,901.63,50.98,22.71,2.9,0
20191018:0807,1006,61.02,24.11,3.45,0
20191018:0907,985.59,65.53,24.9,3.45,0
20191018:1007,1005.44,61.71,25.2,3.24,0
20191018:1107,609.56,52,25.88,2.9,0
20191018:1207,55.41,39.71,25.79,2.41,0
20191018:1307,180.2,26.32,25.45,2.21,0
20191018:1407,14.58,12.39,24.63,2.07,0
20191018:1507,0,0,23.1,2.41,0
20191018:1607,0,0,21.21,2.41,0
20191018:1707,0,0,19.51,2.55,0
20191018:1807,0,0,18.19,2.41,0
20191018:1907,0,0,17.46,2.21,0
20191018:2007,0,0,16.38,2.14,0
20191018:2107,0,0,15.82,2.21,0
20191018:2207,0,0,15.31,2.28,0
20191018:2307,0,0,14.94,2.28,0
20191019:0007,0,0,14.77,2.28,0
20191019:0107,0,0,14.89,2.28,0
20191019:0207,0,0,14.55,2.28,0
20191019:0307,0,0,14.23,2.21,0
20191019:0407,166.48,11.07,14.44,2.14,0
20191019:0507,482,25,17,2,0
20191019:0607,721.86,38.42,20.54,2.34,0
20191019:0707,858.03,50.79,22.59,3.66,0
20191019:0807,893.33,60.74,24.04,4.07,0
20191019:0907,982.57,65.16,24.52,3.79,0
20191019:1007,933.04,61.37,24.93,3.59,0
20191019:1107,793.88,51.74,25.05,3.45,0
20191019:1207,106.93,39.5,24.81,3.24,0
20191019:1307,249.49,26.14,24.36,3.03,0
